MatchDate:			 Date of the match.
DA_ZOPR_avg:			 Average of <DA_ZOPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPR_avgGreaterThanZero:	 Average of <DA_ZOPR> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPR_std:			 Standard Deviation of <DA_ZOPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPR_min:			 Minimum of <DA_ZOPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPR_minGreaterThanZero:	 Minimum of <DA_ZOPR> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPR_max:			 Maximum of <DA_ZOPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZOPR_avg_perTimePerPlayer_ref_avg:	 Average of <DA_ZOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOPR_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <DA_ZOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZOPR_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <DA_ZOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOPR_avg_perTimePerPlayer_ref_min:	 Minimum of <DA_ZOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZOPR_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <DA_ZOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZOPR_avg_perTimePerPlayer_ref_max:	 Maximum of <DA_ZOPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZODE_avg:			 Average of <DA_ZODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZODE_avgGreaterThanZero:	 Average of <DA_ZODE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZODE_std:			 Standard Deviation of <DA_ZODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZODE_min:			 Minimum of <DA_ZODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZODE_minGreaterThanZero:	 Minimum of <DA_ZODE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_ZODE_max:			 Maximum of <DA_ZODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_ZODE_avg_perTimePerPlayer_ref_avg:	 Average of <DA_ZODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZODE_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <DA_ZODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZODE_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <DA_ZODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZODE_avg_perTimePerPlayer_ref_min:	 Minimum of <DA_ZODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_ZODE_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <DA_ZODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_ZODE_avg_perTimePerPlayer_ref_max:	 Maximum of <DA_ZODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_COPR_avg:			 Average of <DA_COPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_COPR_avgGreaterThanZero:	 Average of <DA_COPR> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_COPR_std:			 Standard Deviation of <DA_COPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_COPR_min:			 Minimum of <DA_COPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_COPR_minGreaterThanZero:	 Minimum of <DA_COPR> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_COPR_max:			 Maximum of <DA_COPR> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_COPR_avg_perTimePerPlayer_ref_avg:	 Average of <DA_COPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_COPR_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <DA_COPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_COPR_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <DA_COPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_COPR_avg_perTimePerPlayer_ref_min:	 Minimum of <DA_COPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_COPR_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <DA_COPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_COPR_avg_perTimePerPlayer_ref_max:	 Maximum of <DA_COPR_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_CODE_avg:			 Average of <DA_CODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_CODE_avgGreaterThanZero:	 Average of <DA_CODE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_CODE_std:			 Standard Deviation of <DA_CODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_CODE_min:			 Minimum of <DA_CODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_CODE_minGreaterThanZero:	 Minimum of <DA_CODE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_CODE_max:			 Maximum of <DA_CODE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_CODE_avg_perTimePerPlayer_ref_avg:	 Average of <DA_CODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_CODE_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <DA_CODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_CODE_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <DA_CODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_CODE_avg_perTimePerPlayer_ref_min:	 Minimum of <DA_CODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_CODE_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <DA_CODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_CODE_avg_perTimePerPlayer_ref_max:	 Maximum of <DA_CODE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_PRDE_avg:			 Average of <DA_PRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_PRDE_avgGreaterThanZero:	 Average of <DA_PRDE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_PRDE_std:			 Standard Deviation of <DA_PRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_PRDE_min:			 Minimum of <DA_PRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_PRDE_minGreaterThanZero:	 Minimum of <DA_PRDE> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <playerRows>. During the whole duration of the events <attack>.
DA_PRDE_max:			 Maximum of <DA_PRDE> (Dangerousity with the missing feature set to 1.). For <playerRows>. During the whole duration of the events <attack>.
DA_PRDE_avg_perTimePerPlayer_ref_avg:	 Average of <DA_PRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_PRDE_avg_perTimePerPlayer_ref_avgGreaterThanZero:	 Average of <DA_PRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_PRDE_avg_perTimePerPlayer_ref_std:	 Standard Deviation of <DA_PRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_PRDE_avg_perTimePerPlayer_ref_min:	 Minimum of <DA_PRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
DA_PRDE_avg_perTimePerPlayer_ref_minGreaterThanZero:	 Minimum of <DA_PRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.) with only values greater than zero. For <refTeam>. During the whole duration of the events <attack>.
DA_PRDE_avg_perTimePerPlayer_ref_max:	 Maximum of <DA_PRDE_avg_perTimePerPlayer_ref> (Dangerousity with the missing feature set to 1.). For <refTeam>. During the whole duration of the events <attack>.
Player_01:			 The PlayerID of the <0th> player as represented in the individually aggregated variables for the current event.
Player_02:			 The PlayerID of the <1th> player as represented in the individually aggregated variables for the current event.
Player_03:			 The PlayerID of the <2th> player as represented in the individually aggregated variables for the current event.
Player_04:			 The PlayerID of the <3th> player as represented in the individually aggregated variables for the current event.
Player_05:			 The PlayerID of the <4th> player as represented in the individually aggregated variables for the current event.
Player_06:			 The PlayerID of the <5th> player as represented in the individually aggregated variables for the current event.
Player_07:			 The PlayerID of the <6th> player as represented in the individually aggregated variables for the current event.
